Bart Simpson,No.
Edna Krabappel-Flanders,"Well, I just want to make sure. One for Martin. Two for Martin."
Kid Reporter,"This way, Mister President!"
,
Conductor,"Now boarding on track 5, The afternoon delight coming to Shelbyville, Parkville, andâ€¦.."
Lisa Simpson,"Mr. Bergstrom! Hey, Mr. Bergstrom!"
BERGSTROM,"Hey, Lisa."
Lisa Simpson,"Hey, Lisa, indeed."
BERGSTROM,What? What is it?
Lisa Simpson,"Oh, I mean, were you just going to leave, just like that?"
BERGSTROM,"Ah, I'm sorry, Lisa. You know, it's the life of the substitute teacher: he's a fraud. Today he might be wearing gym shorts, tomorrow he's speaking French, or, or, or pretending to know how to run a band saw, or God knows what."
Lisa Simpson,You can't go! You're the best teacher I'll ever have.
BERGSTROM,"Ah, that's not true. Other teachers will come along who..."
Lisa Simpson,"Oh, please."
BERGSTROM,"No, I can't lie to you, I am the best. But, you know, they need me over in the projects of Capital City."
Lisa Simpson,But I need you too.
BERGSTROM,That's the problem with being middle class. Anybody who really cares will abandon you for those who need it more.
Lisa Simpson,"I, I understand. Mr. Bergstrom, I'm going to miss you."
BERGSTROM,I'll tell you what...
BERGSTROM,"Whenever you feel like you're alone and there's nobody you can rely on, this is all you need to know."
Lisa Simpson,"Thank you, Mr. Bergstrom."
Conductor,All aboard!
Lisa Simpson,"So, I guess this is it? It you don't mind I'll just run alongside the train as it speeds you from my life?"
BERGSTROM,"Goodbye, Lisa honey. It'll be okay. Just read the note."
,
Homer Simpson,Never thrown a party? What about that big bash we had with all the champagne and musicians and holy men and everything?
Homer Simpson,"Bart didn't get one vote?! Oh, this is the worst thing that ever happened to us. Alright, allright, spilled milk, spilled milk, spilled milk. What are you so mopey about?"
Lisa Simpson,Nothing.
Marge Simpson,"Lisa, tell your father."
Lisa Simpson,Mr. Bergstrom left today.
Homer Simpson,Oh.
Lisa Simpson,He's gone. Forever.
Homer Simpson,And?
Lisa Simpson,I didn't think you'd understand.
Homer Simpson,"Hey, just because I don't care doesn't mean I don't understand."
Lisa Simpson,"I'm glad I'm not crying because I would hate for you to think that what I'm about to say is based on emotion. But you, sir, are a baboon!"
Homer Simpson,Me?
Lisa Simpson,"Yes, you! Baboon, baboon, baboon, baboon!"
Homer Simpson,I don't think you realize what you're saying.
Lisa Simpson,Baboon!
Bart Simpson,"Whoa, somebody was bound to say it one day. I just can't believe it was her."
Homer Simpson,"Did you hear that, Marge? She called me a baboon! The stupidest, ugliest, smelliest ape of them all!"
Marge Simpson,"Homer, you are not allowed to have hurt feelings right now. There's a little girl upstairs who needs you. Her confidence in her father is shaken, and no little girl can be happy unless she has faith in her Daddy."
Homer Simpson,Go Away.
Homer Simpson,"Lisa, don't hold anything back. You can tell me. Are you crying because you called Daddy a baboon?"
Lisa Simpson,No!
Homer Simpson,Nuts.
Homer Simpson,This isn't going well at all.
Lisa Simpson,"Look, if you just want me to forgive you --"
Homer Simpson,"No, no, no. I just wish I knew what to say."
Homer Simpson,"Although, maybe this will help. Now you lost someone special and it hurts. I'm lucky because I never lost anyone special to me. Everyone special to me is under this roof."
Lisa Simpson,
Marge Simpson,That was our wedding.
Homer Simpson,Oh.
Marge Simpson,"Children, it's time for you to go to bed."
Homer Simpson,"It's true. Now, you'll have lots of special people in your life, Lisa. There's probably some place where they all get together, and the food is real good, and guys like me are serving drinks. Oh well, maybe I can't explain all this, but I can fix your doll house for you. At least, I'm good at monkey work. You know... monkey. You know what I mean?"
Lisa Simpson,Yeah.
Homer Simpson,I can hold these nails in place with my tail.
Lisa Simpson,You're so silly.
Homer Simpson,Gimme a banana.
Lisa Simpson,I don't have any banana.
Homer Simpson,"Come on, you're holding out on me."
Lisa Simpson,"I'm sorry I called you a baboon, Dad."
Homer Simpson,Think nothing of it.
Homer Simpson,"Hey, what's the matter, son?"
Bart Simpson,"Ah, Dad, if just me, Milhouse and Lewis had voted..."
Homer Simpson,"Hey son, would you have gotten any money for being class president?"
Bart Simpson,No.
Homer Simpson,Would you have to do extra work?
Bart Simpson,Yeah.
Homer Simpson,"And is this Martin guy going to get to do anything neat, like throw out the first ball at the world series, huh?"
Bart Simpson,"Well, no."
Homer Simpson,"So, let the baby have his bottle, huh? That's my motto."
Bart Simpson,"Hey! Thanks, monkey-man."
Homer Simpson,Holy-moly... talk about parenting!
Homer Simpson,Uh oh.
Homer Simpson,"Sleep well, Maggie. Ah, three for three."
Marge Simpson,"Homie, did you straighten everything out...?"
Homer Simpson,"Up... up... up... up... up... up. Don't say anything, Marge. Let's just go to bed. I'm on the biggest roll of my life."
,
Homer Simpson,Mmm... hors doovers.
Marge Simpson,Homer! You promised!
Homer Simpson,I promised I wouldn't eat? Never! You lie!
Marge Simpson,"Homer, please. We've never thrown a party. Now we're gonna pay back all the friends who've invited us to their homes."
Lisa Simpson,"But Mom, I want to hear the witty banter of sophisticated adults."
Bart Simpson,"Yeah, you can't have any fun in bed."
Homer Simpson,"Oh son, when you're older, you'll know better."
Homer Simpson,"Hmmm. Oh, baby! Mmmm. Yeah."
Marge Simpson,Oh! They're here! How does everything look?
Homer Simpson,How do I look?
Marge Simpson,Do we have enough glasses?
Homer Simpson,Do we have enough gag ice cubs?
Marge Simpson,Homer! Homer! Put a record on!
Homer Simpson,What are all our friends names again?
Marge Simpson,Children! Go!
Ned Flanders,"Hey, anybody mind if I serve as bartender? You know, I have a Ph.D in Mixology."
Moe Szyslak,College boy.
Ned Flanders,"Hey, Homer! Care to try some of my Flanders Planters punch?"
Homer Simpson,Why not? I paid for it.
Homer Simpson,"Hey, Flanders, next time why don't you put a little alcohol in it?"
Ned Flanders,"Au contraire, Simpson! It has three shots of rum, a jigger of bourbon and just little dab-a-roo of creme de cassis for flavor."
Homer Simpson,Really? Well I do have a warm sense of well-being and I seem to be ssslurring my shpeech... you're right! Give me another.
Marge Simpson,"Now, Homer, go easy on the al-ky-hol. Remember last year at the Winfield's party when you threw up in the laundry hamper?"
Homer Simpson,No.
Marge Simpson
,
Barney Gumble,"Hi! You're Homer's sister-in-law, right? I remember you, but I don't remember you being so beau --tiful."
Barney Gumble,Ow! Hey! Jeez!
Barney Gumble,Is that a new kind of Mace? It's really painful.
Homer Simpson,"Oh, Dr. Hibbert. Enjoying the party?"
Dr. Julius Hibbert,"Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink."
Homer Simpson,It was me! You fell for it!
Dr. Julius Hibbert,"Homer, these novelty ice cubes are often made from highly toxic chemicals. Ironically, a real fly would have been much more sanitary."
Bart Simpson,Please Dad.
Homer Simpson,You should see the look on your face. It's priceless.
Homer Simpson,Bart! Come over here.
Bart Simpson,What?
Homer Simpson,"You little monkey... you're a little monkey, aren't you?"
Bart Simpson,Yes sir.
Homer Simpson,"Bart, do that thing you do that's so cute."
Bart Simpson,What?
Homer Simpson,That thing you know how to do.
Bart Simpson,What?
Homer Simpson,Go to bed.
Homer Simpson,"Hey, everybody! Look, I'm the funniest guy in the world!"
Barney Gumble,"Oh, Homer, you're the king!"
Homer Simpson,"I've been wantin' to tell you off for years, but I've never had the nerve."
Husband Of Marge's Friend,"Homer, I don't know you. My wife and your wife are friends. We met just three hours ago."
Homer Simpson,You stink! You and your whole lousy operation stinks! I quit!
Husband Of Marge's Friend,"Uh, gee Homer, don't quit..."
Homer Simpson,All right then.
Homer Simpson,Could you... give me a handful of peanuts... Maude?
Maude Flanders,Oh sure.
Homer Simpson,Not those peanuts. The ones at the bottom.
Homer Simpson,
Marge Simpson,
Barney Gumble,"Hey, thanks for invitin' me. I had a wonderful time."
Marge Simpson,I must apologize for my husband.
Dr. Julius Hibbert,"If you want him to live through the night, I suggest you roll him onto his side."
Marge Simpson,"Hmmm. thank you. I will, Dr. Hibbert. Thanks for coming."
Dr. Julius Hibbert,"Remember, I said if."
Marge Simpson,I have never been so embarrassed in my life.
Homer Simpson,Why? What'd you do?
Homer Simpson,Marge!
Marge Simpson,Come here!
Homer Simpson,Where-where are we going?
Marge Simpson,Shhh.
,
Marge Simpson,"I want to make sure the kids don't hear. When I was young, I always hated knowing my parents were fighting."
,
Bart Simpson,They're fighting in the car again.
Lisa Simpson,That music always sends a chill down my spine.
,
Marge Simpson,"Homer, do you remember the way you acted at the party last night?"
Homer Simpson,The way I acted?
,
Homer Simpson,So I said: I must get out of these wet clothes and into a dry martini.
Sophisticate #1,Good lord! There's a fly in my drink!
Homer Simpson,I put it there.
Sophisticate #1,You did?
Homer Simpson,I slipped it into your glass as a gag.
Sophisticate #1,Pure hilarity!
Sophisticate #2,Pure Homer!
Sophisticate #3,I pronounce it to be the most whimsical jape of the season!
,
Marge Simpson,"Homer, I like to think that I'm a patient, tolerant woman, and that there was no line you could cross that could make me stop loving you. But last night, you didn't just cross that line, you threw up on it!"
